id,shares,Usage
1,1200,Public
2,855,Private
3,710,Public
4,17100,Private
5,852,Private
6,480,Public
7,695,Public
8,1100,Public
9,1800,Public
10,552,Private
11,4600,Private
12,1200,Private
13,302,Public
14,1100,Private
15,1500,Private
16,7100,Private
17,705,Public
18,3800,Private
19,19400,Private
20,1600,Public
21,1600,Private
22,412,Public
23,417,Public
24,513,Private
25,10400,Private
26,5600,Public
27,2100,Private
28,727,Private
29,1200,Public
30,1700,Public
31,450,Private
32,939,Public
33,11500,Private
34,958,Private
35,737,Private
36,2900,Public
37,484,Public
38,922,Public
39,3200,Public
40,1600,Private
41,8100,Private
42,3800,Public
43,933,Public
44,308,Private
45,1400,Private
46,762,Public
47,1200,Public
48,794,Public
49,1300,Public
50,1500,Private
51,2000,Private
52,1000,Private
53,1500,Public
54,1000,Public
55,1400,Public
56,1400,Public
57,1100,Public
58,1400,Public
59,924,Public
60,1300,Public
61,1300,Public
62,3500,Public
63,1600,Public
64,2200,Private
65,720,Public
66,4400,Private
67,1100,Public
68,1000,Private
69,658,Public
70,2300,Public
71,1600,Public
72,1800,Private
73,25200,Public
74,2700,Private
75,3800,Public
76,1900,Public
77,894,Private
78,12100,Public
79,3700,Public
80,8000,Public
81,909,Public
82,2700,Public
83,636,Public
84,621,Private
85,1700,Public
86,1600,Public
87,1300,Public
88,862,Public
89,1100,Private
90,3000,Public
91,727,Private
92,1300,Public
93,39400,Public
94,2200,Private
95,2800,Private
96,1300,Private
97,423,Private
98,581,Private
99,442,Public
100,1100,Private
101,2200,Private
102,2400,Public
103,2100,Private
104,1600,Private
105,1900,Private
106,8900,Private
107,368,Public
108,2300,Private
109,568,Public
110,2000,Private
111,4800,Public
112,1500,Public
113,2000,Public
114,1200,Private
115,1000,Public
116,824,Public
117,480,Public
118,3200,Public
119,757,Private
120,1300,Public
121,514,Private
122,1900,Public
123,615,Public
124,529,Public
125,1700,Public
126,1200,Public
127,560,Private
128,1600,Public
129,11400,Public
130,4500,Public
131,1200,Public
132,4100,Public
133,460,Private
134,51900,Private
135,832,Private
136,3500,Private
137,3000,Private
138,917,Private
139,938,Public
140,1200,Public
141,1100,Private
142,1800,Private
143,610,Public
144,1100,Public
145,3500,Private
146,12300,Private
147,744,Private
148,1100,Public
149,4200,Public
150,875,Private
151,2000,Public
152,5000,Public
153,801,Private
154,592,Public
155,1400,Public
156,1100,Public
157,1700,Public
158,9100,Private
159,1800,Private
160,1600,Private
161,771,Public
162,15800,Public
163,2200,Public
164,1100,Public
165,3300,Private
166,1300,Public
167,3100,Public
168,8000,Private
169,1500,Public
170,2700,Public
171,1000,Public
172,1200,Public
173,561,Public
174,2200,Public
175,2900,Private
176,1200,Private
177,2200,Public
178,2700,Public
179,1300,Private
180,1900,Public
181,2300,Public
182,2600,Private
183,7800,Private
184,2000,Public
185,9800,Private
186,1700,Public
187,4200,Private
188,3500,Private
189,1600,Public
190,4400,Public
191,2500,Public
192,764,Public
193,4000,Private
194,2900,Public
195,1000,Private
196,2100,Public
197,2200,Private
198,799,Private
199,2000,Public
200,1600,Private
201,2100,Private
202,1300,Private
203,1800,Public
204,1100,Private
205,1600,Private
206,1600,Public
207,872,Public
208,657,Private
209,2800,Private
210,1700,Public
211,1200,Private
212,3100,Public
213,987,Public
214,428,Public
215,936,Private
216,1200,Public
217,860,Private
218,1700,Public
219,560,Public
220,1500,Private
221,1200,Private
222,6000,Private
223,1400,Public
224,1200,Private
225,635,Public
226,589,Private
227,510,Private
228,1100,Public
229,5600,Private
230,3700,Public
231,2600,Private
232,1000,Public
233,3200,Public
234,2800,Private
235,790,Private
236,623,Public
237,548,Public
238,508,Private
239,999,Private
240,2100,Public
241,2400,Private
242,1100,Public
243,2700,Private
244,1700,Public
245,3000,Public
246,957,Public
247,1700,Private
248,683,Public
249,371,Private
250,1500,Public
251,1200,Public
252,1500,Private
253,1100,Private
254,513,Private
255,730,Public
256,740,Public
257,730,Private
258,518,Public
259,3100,Public
260,1700,Private
261,886,Public
262,1300,Private
263,3900,Public
264,39200,Private
265,755,Private
266,555,Public
267,785,Public
268,2400,Private
269,3800,Private
270,668,Private
271,1200,Private
272,998,Public
273,1000,Private
274,3300,Private
275,1300,Private
276,1600,Private
277,2700,Public
278,2000,Public
279,1800,Public
280,1200,Public
281,5700,Public
282,1000,Public
283,735,Public
284,763,Public
285,3800,Private
286,3200,Private
287,11800,Public
288,3400,Public
289,7000,Private
290,856,Public
291,2500,Public
292,1100,Private
293,931,Private
294,1400,Private
295,3200,Private
296,538,Public
297,1100,Public
298,535,Public
299,3800,Private
300,1400,Public
301,1600,Private
302,4900,Public
303,5600,Private
304,3900,Private
305,1300,Public
306,2400,Private
307,1100,Private
308,2700,Private
309,6400,Public
310,1400,Public
311,2800,Public
312,8500,Private
313,1600,Public
314,8100,Private
315,2700,Public
316,3000,Public
317,6700,Public
318,2800,Public
319,1700,Private
320,2000,Public
321,688,Private
322,706,Public
323,469,Public
324,673,Public
325,1200,Private
326,578,Private
327,1200,Private
328,4300,Private
329,510,Private
330,11400,Public
331,4400,Private
332,2100,Private
333,825,Public
334,5000,Public
335,4100,Public
336,792,Public
337,1000,Public
338,990,Private
339,1100,Private
340,2800,Public
341,2400,Public
342,1300,Public
343,1800,Private
344,6300,Public
345,1600,Private
346,1200,Private
347,2300,Public
348,651,Private
349,853,Public
350,1500,Private
351,469,Private
352,659,Private
353,3400,Public
354,1100,Private
355,990,Private
356,636,Private
357,1500,Public
358,1600,Private
359,2700,Public
360,2000,Public
361,1200,Private
362,1700,Public
363,984,Public
364,1600,Public
365,2000,Public
366,2400,Public
367,758,Private
368,884,Public
